Number,Player,Minutes,Off reb,Def reb,Tot reb,Assists,Fouls comm,Fouls against,Turnovers,Steals,Blocked shots,Blocked shot attempt,Efficiency,+/-,Pts,Home team,Guest team,Team,Game number,Starter,2m,2a,3m,3a,Fgm,Fga,Ftm,Fta
4,Khalil Ullah Ahmad,12.483333333333333,2.0,2.0,4.0,3.0,5.0,1.0,2.0,3.0,,1.0,13.0,5.0,8.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,4.0,6.0,0.0,1.0,4.0,7.0,,
5,Magnús Már Traustason,8.366666666666667,,,,,1.0,,,,,,-2.0,-5.0,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,1.0,0.0,1.0,0.0,2.0,,
6,Valur Orri Valsson,22.2,2.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,,,4.0,7.0,3.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,2.0,0.0,2.0,0.0,4.0,3.0,4.0
7,Ágúst Orrason,8.25,,,,2.0,2.0,1.0,1.0,,,,3.0,3.0,3.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,,,0.0,1.0,0.0,1.0,3.0,3.0
8,Guðmundur Jónsson,15.75,,1.0,1.0,,3.0,1.0,1.0,,,,-1.0,-7.0,3.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,1.0,1.0,4.0,1.0,5.0,,
9,Dominykas Milka,34.0,8.0,10.0,18.0,,3.0,7.0,4.0,,1.0,4.0,27.0,22.0,23.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,10.0,19.0,,,10.0,19.0,3.0,5.0
10,Davíð Alexander H. Magnússon,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,,,,,,,,
11,Deane Williams,35.55,1.0,13.0,14.0,3.0,3.0,1.0,2.0,2.0,,,20.0,16.0,12.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,5.0,7.0,0.0,7.0,5.0,14.0,2.0,2.0
13,Hörður Axel Vilhjálmsson,32.61666666666667,,5.0,5.0,9.0,1.0,4.0,1.0,2.0,,1.0,14.0,21.0,12.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,1.0,4.0,3.0,10.0,4.0,14.0,1.0,4.0
14,Elvar Snær Guðjónsson,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,,,,,,,,
15,Veigar Áki Hlynsson,2.2666666666666666,1.0,,1.0,,,,,,,,-1.0,-2.0,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,2.0,,,0.0,2.0,,
21,Callum Reese Lawson,28.516666666666666,1.0,2.0,3.0,,1.0,2.0,1.0,1.0,,,16.0,15.0,14.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,4.0,5.0,2.0,2.0,6.0,7.0,,
0,Tristan Rafn Ottósson,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,,,,,,
1,Ísak Júlíus Perdue,2.2666666666666666,,1.0,1.0,,,,,,,,3.0,2.0,2.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,1.0,1.0,,,1.0,1.0,,
3,Benjamín Þorri Benjamínsson,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,,,,,,
7,Emil Karel Einarsson,20.05,1.0,1.0,2.0,,,,,1.0,,,2.0,-21.0,3.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,,,1.0,5.0,1.0,5.0,,
9,Halldór Garðar Hermannsson,33.28333333333333,1.0,7.0,8.0,6.0,4.0,5.0,5.0,1.0,,,8.0,-14.0,8.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,2.0,7.0,0.0,5.0,2.0,12.0,4.0,4.0
13,Davíð Arnar Ágústsson,16.983333333333334,,4.0,4.0,1.0,5.0,,1.0,,,,3.0,4.0,3.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,1.0,5.0,1.0,5.0,,
24,Marko Bakovic,22.166666666666668,1.0,,1.0,2.0,3.0,2.0,1.0,1.0,,1.0,-3.0,-14.0,5.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,2.0,6.0,0.0,3.0,2.0,9.0,1.0,5.0
25,Ragnar Örn Bragason,27.95,1.0,3.0,4.0,2.0,1.0,2.0,,,3.0,,16.0,-2.0,9.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,3.0,5.0,3.0,5.0,,
33,Jerome Frink,35.43333333333333,4.0,9.0,13.0,3.0,4.0,5.0,4.0,3.0,3.0,,27.0,-19.0,22.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,7.0,13.0,1.0,5.0,8.0,18.0,5.0,8.0
34,Styrmir Snær Þrastarson,21.616666666666667,2.0,1.0,3.0,3.0,1.0,2.0,,,,,6.0,3.0,4.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,2.0,4.0,0.0,2.0,2.0,6.0,,
77,Sebastian Eneo Mignani,20.25,,1.0,1.0,1.0,4.0,2.0,4.0,2.0,,,4.0,-14.0,7.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,2.0,3.0,1.0,3.0,3.0,6.0,,
1,Erlendur Ágúst Stefánsson,4.666666666666667,,,,1.0,,,2.0,,,,-1.0,-6.0,,Þór Akureyri,Grindavík,Þór Akureyri,2.0,,,,,,,,,
2,Jamal Marcel Palmer,18.9,2.0,,2.0,,3.0,3.0,2.0,2.0,,,9.0,11.0,13.0,Þór Akureyri,Grindavík,Þór Akureyri,2.0,,5.0,6.0,0.0,4.0,5.0,10.0,3.0,4.0
4,Hansel Giovanny Atencia Suarez,37.733333333333334,,2.0,2.0,7.0,1.0,4.0,5.0,2.0,,,25.0,4.0,28.0,Þór Akureyri,Grindavík,Þór Akureyri,2.0,1.0,4.0,7.0,5.0,10.0,9.0,17.0,5.0,6.0
8,Júlíus Orri Ágústsson,32.06666666666667,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,,,13.0,7.0,12.0,Þór Akureyri,Grindavík,Þór Akureyri,2.0,1.0,4.0,5.0,0.0,2.0,4.0,7.0,4.0,5.0
12,Sigurður Traustason,0.0,,,,,,,,,,,,,,Þór Akureyri,Grindavík,Þór Akureyri,2.0,,,,,,,,,
14,Einar Húmi Valsson,0.0,,,,,,,,,,,,,,Þór Akureyri,Grindavík,Þór Akureyri,2.0,,,,,,,,,
15,Pablo Hernandez Montenegro,37.28333333333333,3.0,14.0,17.0,,4.0,5.0,4.0,2.0,,1.0,22.0,7.0,14.0,Þór Akureyri,Grindavík,Þór Akureyri,2.0,1.0,2.0,5.0,3.0,6.0,5.0,11.0,1.0,2.0
25,Baldur Örn Jóhannesson,2.4166666666666665,,,,,,,,,,,0.0,-2.0,,Þór Akureyri,Grindavík,Þór Akureyri,2.0,,,,,,,,,
33,Terrence Christopher Motley,21.1,3.0,4.0,7.0,,5.0,3.0,3.0,,,,7.0,-8.0,10.0,Þór Akureyri,Grindavík,Þór Akureyri,2.0,1.0,4.0,8.0,0.0,1.0,4.0,9.0,2.0,4.0
34,Ragnar Ágústsson,0.1,,,,,,,,,,,0.0,,,Þór Akureyri,Grindavík,Þór Akureyri,2.0,,,,,,,,,
41,Mantas Virbalas,38.05,1.0,9.0,10.0,1.0,4.0,4.0,1.0,2.0,2.0,,15.0,5.0,10.0,Þór Akureyri,Grindavík,Þór Akureyri,2.0,1.0,4.0,7.0,0.0,2.0,4.0,9.0,2.0,6.0
72,Kolbeinn Fannar Gíslason,7.683333333333334,1.0,,1.0,,1.0,,,1.0,,,4.0,-3.0,2.0,Þór Akureyri,Grindavík,Þór Akureyri,2.0,,1.0,1.0,,,1.0,1.0,,
0,Björgvin Hafþór Ríkharðsson,15.8,3.0,2.0,5.0,1.0,3.0,,2.0,2.0,,,5.0,15.0,3.0,Þór Akureyri,Grindavík,Grindavík,2.0,,0.0,1.0,1.0,4.0,1.0,5.0,,
1,Miljan Rakic,21.866666666666667,,1.0,1.0,2.0,3.0,2.0,3.0,1.0,,,1.0,8.0,3.0,Þór Akureyri,Grindavík,Grindavík,2.0,,,,1.0,4.0,1.0,4.0,,
2,Sigtryggur Arnar Björnsson,28.75,2.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,,,9.0,-1.0,8.0,Þór Akureyri,Grindavík,Grindavík,2.0,1.0,1.0,2.0,1.0,7.0,2.0,9.0,3.0,4.0
3,Seth Christian Le Day,34.266666666666666,5.0,1.0,6.0,2.0,3.0,9.0,1.0,2.0,1.0,1.0,25.0,,28.0,Þór Akureyri,Grindavík,Grindavík,2.0,1.0,11.0,16.0,1.0,3.0,12.0,19.0,3.0,9.0
6,Ingvi Þór Guðmundsson,32.46666666666667,2.0,5.0,7.0,8.0,3.0,3.0,4.0,2.0,,1.0,21.0,-13.0,18.0,Þór Akureyri,Grindavík,Grindavík,2.0,1.0,2.0,5.0,4.0,11.0,6.0,16.0,2.0,2.0
8,Kristófer Breki Gylfason,4.183333333333334,,,,,,,1.0,,,,-2.0,-10.0,,Þór Akureyri,Grindavík,Grindavík,2.0,,,,0.0,1.0,0.0,1.0,,
9,Bragi Guðmundsson,0.0,,,,,,,,,,,,,,Þór Akureyri,Grindavík,Grindavík,2.0,,,,,,,,,
12,Sverrir Týr Sigurðsson,0.0,,,,,,,,,,,,,,Þór Akureyri,Grindavík,Grindavík,2.0,,,,,,,,,
14,Ólafur Ólafsson,28.65,1.0,5.0,6.0,3.0,3.0,1.0,3.0,1.0,,,13.0,-4.0,10.0,Þór Akureyri,Grindavík,Grindavík,2.0,1.0,4.0,4.0,0.0,4.0,4.0,8.0,2.0,2.0
15,Nökkvi Már Nökkvason,4.933333333333334,,,,,2.0,1.0,,,,,2.0,-3.0,2.0,Þór Akureyri,Grindavík,Grindavík,2.0,,,,,,,,2.0,2.0
42,Valdas Vasylius,29.083333333333332,2.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,,,10.0,-7.0,14.0,Þór Akureyri,Grindavík,Grindavík,2.0,1.0,4.0,9.0,2.0,4.0,6.0,13.0,0.0,2.0
4,Axel Kárason,19.466666666666665,1.0,,1.0,1.0,2.0,,1.0,,,1.0,11.0,1.0,12.0,Tindastóll,ÍR,Tindastóll,3.0,,0.0,1.0,4.0,5.0,4.0,6.0,,
5,Jaka Brodnik,26.233333333333334,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,,1.0,19.0,21.0,18.0,Tindastóll,ÍR,Tindastóll,3.0,1.0,5.0,9.0,1.0,2.0,6.0,11.0,5.0,6.0
6,Friðrik Þór Stefánsson,2.0,1.0,,1.0,,1.0,,1.0,1.0,,,4.0,2.0,3.0,Tindastóll,ÍR,Tindastóll,3.0,,,,1.0,1.0,1.0,1.0,,
7,Pétur Rúnar Birgisson,28.35,1.0,5.0,6.0,9.0,3.0,2.0,4.0,1.0,1.0,,20.0,16.0,11.0,Tindastóll,ÍR,Tindastóll,3.0,1.0,3.0,5.0,1.0,3.0,4.0,8.0,2.0,2.0
8,Eyþór Lár Bárðarson,0.8,,1.0,1.0,,,,,,,,1.0,2.0,,Tindastóll,ÍR,Tindastóll,3.0,,,,,,,,,
9,Deremy Terrell Geiger,25.716666666666665,,3.0,3.0,5.0,1.0,4.0,2.0,2.0,,,21.0,13.0,18.0,Tindastóll,ÍR,Tindastóll,3.0,1.0,0.0,2.0,6.0,9.0,6.0,11.0,,
10,Örvar Freyr Harðarson,0.0,,,,,,,,,,,,,,Tindastóll,ÍR,Tindastóll,3.0,,,,,,,,,
11,Sinisa Bilic,32.3,1.0,4.0,5.0,3.0,2.0,2.0,1.0,,,,20.0,22.0,25.0,Tindastóll,ÍR,Tindastóll,3.0,1.0,8.0,14.0,3.0,7.0,11.0,21.0,0.0,2.0
12,Viðar Ágústsson,19.5,,3.0,3.0,4.0,3.0,2.0,,,1.0,,4.0,9.0,,Tindastóll,ÍR,Tindastóll,3.0,,0.0,1.0,0.0,3.0,0.0,4.0,,
14,Helgi Rafn Viggósson,21.45,5.0,7.0,12.0,6.0,2.0,1.0,,1.0,2.0,,20.0,21.0,2.0,Tindastóll,ÍR,Tindastóll,3.0,1.0,1.0,4.0,,,1.0,4.0,,
33,Jasmin Perkovic,16.783333333333335,,5.0,5.0,,1.0,3.0,1.0,,,,10.0,,8.0,Tindastóll,ÍR,Tindastóll,3.0,,2.0,3.0,0.0,1.0,2.0,4.0,4.0,4.0
35,Hannes Ingi Másson,7.4,,2.0,2.0,,,,,1.0,,,4.0,8.0,2.0,Tindastóll,ÍR,Tindastóll,3.0,,1.0,1.0,0.0,1.0,1.0,2.0,,
0,Aron Orri Hilmarsson,1.7666666666666666,,,,,,,,,,1.0,-1.0,-2.0,,Tindastóll,ÍR,ÍR,3.0,,0.0,1.0,,,0.0,1.0,,
3,Collin Pryor,32.75,,4.0,4.0,3.0,2.0,3.0,,1.0,,1.0,22.0,-16.0,21.0,Tindastóll,ÍR,ÍR,3.0,1.0,7.0,11.0,2.0,4.0,9.0,15.0,1.0,2.0
5,Ingvar Hrafn Þorsteinsson,2.9833333333333334,,,,,,1.0,,,,,0.0,,,Tindastóll,ÍR,ÍR,3.0,,,,,,,,,
8,Trausti Eiríksson,7.383333333333334,,1.0,1.0,3.0,1.0,,2.0,,,,3.0,-4.0,2.0,Tindastóll,ÍR,ÍR,3.0,,1.0,2.0,,,1.0,2.0,,
9,Roberto Kovac,31.666666666666668,3.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,,,19.0,-19.0,15.0,Tindastóll,ÍR,ÍR,3.0,,0.0,1.0,5.0,8.0,5.0,9.0,,
13,Skúli Kristjánsson,14.166666666666666,1.0,1.0,2.0,,2.0,,,,,,5.0,-5.0,3.0,Tindastóll,ÍR,ÍR,3.0,,,,1.0,1.0,1.0,1.0,,
14,Sæþór Elmar Kristjánsson,20.783333333333335,,,,,1.0,,1.0,1.0,,,-5.0,-22.0,,Tindastóll,ÍR,ÍR,3.0,1.0,0.0,2.0,0.0,3.0,0.0,5.0,,
15,Frank Gerritsen,2.0,,,,,,1.0,,,,,3.0,-2.0,3.0,Tindastóll,ÍR,ÍR,3.0,,,,1.0,1.0,1.0,1.0,,
24,Georgi Boyanov,33.93333333333333,2.0,4.0,6.0,2.0,2.0,6.0,4.0,1.0,,2.0,8.0,-21.0,15.0,Tindastóll,ÍR,ÍR,3.0,1.0,5.0,13.0,0.0,2.0,5.0,15.0,5.0,7.0
33,Danero Thomas,33.28333333333333,,7.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,,14.0,-17.0,14.0,Tindastóll,ÍR,ÍR,3.0,1.0,1.0,5.0,4.0,12.0,5.0,17.0,,
49,Daði Berg Grétarsson,19.283333333333335,,1.0,1.0,4.0,5.0,2.0,4.0,1.0,,,4.0,-7.0,3.0,Tindastóll,ÍR,ÍR,3.0,1.0,,,1.0,2.0,1.0,2.0,,
3,Chaz Calvaron Williams,25.333333333333332,,5.0,5.0,9.0,1.0,5.0,,1.0,,1.0,37.0,35.0,28.0,Njarðvík,Fjölnir,Njarðvík,4.0,1.0,8.0,12.0,3.0,4.0,11.0,16.0,3.0,4.0
7,Róbert Sean Birmingham,10.466666666666667,1.0,1.0,2.0,,,,,1.0,,1.0,2.0,3.0,2.0,Njarðvík,Fjölnir,Njarðvík,4.0,,1.0,2.0,0.0,2.0,1.0,4.0,,
8,Kristinn Pálsson,15.283333333333333,1.0,4.0,5.0,,2.0,,,1.0,1.0,,3.0,21.0,4.0,Njarðvík,Fjölnir,Njarðvík,4.0,1.0,2.0,5.0,0.0,5.0,2.0,10.0,,
9,Ólafur Helgi Jónsson,18.783333333333335,1.0,6.0,7.0,1.0,2.0,,2.0,,,,6.0,6.0,2.0,Njarðvík,Fjölnir,Njarðvík,4.0,,1.0,1.0,0.0,2.0,1.0,3.0,,
10,Jón Arnór Sverrisson,18.966666666666665,1.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,,,20.0,4.0,17.0,Njarðvík,Fjölnir,Njarðvík,4.0,,8.0,11.0,0.0,1.0,8.0,12.0,1.0,3.0
12,Eric Katenda,18.916666666666668,4.0,4.0,8.0,1.0,2.0,3.0,,,3.0,,15.0,1.0,11.0,Njarðvík,Fjölnir,Njarðvík,4.0,,5.0,10.0,,,5.0,10.0,1.0,4.0
13,Aurimas Majauskas,21.083333333333332,4.0,2.0,6.0,2.0,1.0,4.0,1.0,,,,17.0,33.0,16.0,Njarðvík,Fjölnir,Njarðvík,4.0,1.0,7.0,9.0,,,7.0,9.0,2.0,6.0
14,Logi Gunnarsson,21.233333333333334,1.0,,1.0,6.0,2.0,,,,,,19.0,31.0,15.0,Njarðvík,Fjölnir,Njarðvík,4.0,1.0,3.0,4.0,3.0,5.0,6.0,9.0,,
15,Guðjón Karl Halldórsson,3.3,1.0,,1.0,,1.0,,,,,,1.0,,2.0,Njarðvík,Fjölnir,Njarðvík,4.0,,1.0,3.0,,,1.0,3.0,,
23,Maciek Stanislav Baginski,19.983333333333334,,2.0,2.0,2.0,1.0,1.0,1.0,,,,9.0,5.0,9.0,Njarðvík,Fjölnir,Njarðvík,4.0,,,,2.0,5.0,2.0,5.0,3.0,3.0
31,Mario Matasovic,17.916666666666668,2.0,6.0,8.0,4.0,2.0,2.0,,1.0,1.0,,20.0,28.0,9.0,Njarðvík,Fjölnir,Njarðvík,4.0,1.0,2.0,5.0,1.0,1.0,3.0,6.0,2.0,2.0
32,Gunnar Már Sigmundsson,8.733333333333333,,1.0,1.0,,1.0,1.0,,,1.0,,2.0,3.0,2.0,Njarðvík,Fjölnir,Njarðvík,4.0,,,,0.0,2.0,0.0,2.0,2.0,2.0
2,Daníel Bjarki Stefánsson,3.3,1.0,,1.0,,2.0,,,,,,3.0,,2.0,Njarðvík,Fjölnir,Fjölnir,4.0,,1.0,1.0,,,1.0,1.0,,
3,Jere Vucica,33.71666666666667,3.0,10.0,13.0,3.0,1.0,4.0,6.0,,1.0,1.0,17.0,-20.0,17.0,Njarðvík,Fjölnir,Fjölnir,4.0,1.0,2.0,6.0,3.0,9.0,5.0,15.0,4.0,5.0
4,Rafn Kristján Kristjánsson,10.433333333333334,,2.0,2.0,,,,,,,,2.0,-14.0,,Njarðvík,Fjölnir,Fjölnir,4.0,,,,,,,,,
8,Srdan Stojanovic,27.983333333333334,1.0,2.0,3.0,1.0,2.0,4.0,2.0,,,2.0,11.0,-28.0,21.0,Njarðvík,Fjölnir,Fjölnir,4.0,1.0,4.0,8.0,3.0,10.0,7.0,18.0,4.0,5.0
11,Róbert Sigurðsson,32.55,1.0,4.0,5.0,8.0,4.0,3.0,3.0,2.0,,,10.0,-34.0,6.0,Njarðvík,Fjölnir,Fjölnir,4.0,1.0,1.0,3.0,1.0,6.0,2.0,9.0,1.0,2.0
12,Hlynur Breki Harðarson,3.216666666666667,,1.0,1.0,1.0,,,1.0,,,1.0,-1.0,,,Njarðvík,Fjölnir,Fjölnir,4.0,,0.0,1.0,0.0,1.0,0.0,2.0,,
13,Orri Hilmarsson,23.433333333333334,,1.0,1.0,,1.0,1.0,1.0,,,1.0,5.0,-15.0,11.0,Njarðvík,Fjölnir,Fjölnir,4.0,,1.0,4.0,3.0,6.0,4.0,10.0,,
15,Viktor Máni Steffensen,15.466666666666667,1.0,,1.0,3.0,1.0,3.0,2.0,,,,6.0,-10.0,6.0,Njarðvík,Fjölnir,Fjölnir,4.0,,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0
16,Vilhjálmur Theodór Jónsson,23.066666666666666,1.0,4.0,5.0,1.0,3.0,,,1.0,1.0,,10.0,-30.0,9.0,Njarðvík,Fjölnir,Fjölnir,4.0,1.0,3.0,7.0,1.0,4.0,4.0,11.0,,
19,Guðjón Ari Logason,3.3,1.0,2.0,3.0,1.0,,,,,,,3.0,,,Njarðvík,Fjölnir,Fjölnir,4.0,,,,0.0,1.0,0.0,1.0,,
20,Tómas Heiðar Tómasson,23.533333333333335,1.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,,1.0,15.0,-19.0,11.0,Njarðvík,Fjölnir,Fjölnir,4.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,,
0,Gunnar Ólafsson,16.35,1.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,10.0,4.0,9.0,Stjarnan,Haukar,Stjarnan,5.0,,3.0,5.0,1.0,3.0,4.0,8.0,,
1,Kyle Johnson,21.733333333333334,1.0,3.0,4.0,1.0,3.0,2.0,,1.0,,,5.0,-1.0,9.0,Stjarnan,Haukar,Stjarnan,5.0,1.0,3.0,7.0,1.0,3.0,4.0,10.0,0.0,4.0
4,Hlynur Elías Bæringsson,26.666666666666668,9.0,5.0,14.0,6.0,5.0,,2.0,2.0,1.0,,27.0,11.0,9.0,Stjarnan,Haukar,Stjarnan,5.0,1.0,3.0,5.0,1.0,2.0,4.0,7.0,,
5,Nikolas Tomsick,30.333333333333332,,3.0,3.0,5.0,2.0,3.0,3.0,,,1.0,16.0,12.0,19.0,Stjarnan,Haukar,Stjarnan,5.0,1.0,4.0,6.0,3.0,9.0,7.0,15.0,2.0,2.0
7,Ágúst Angantýsson,1.9833333333333334,,,,,,,1.0,,,,-1.0,-1.0,,Stjarnan,Haukar,Stjarnan,5.0,,,,,,,,,
8,Ægir Þór Steinarsson,33.65,,2.0,2.0,4.0,1.0,3.0,5.0,5.0,,,21.0,13.0,18.0,Stjarnan,Haukar,Stjarnan,5.0,1.0,6.0,7.0,1.0,3.0,7.0,10.0,3.0,3.0
10,Dúi Þór Jónsson,3.2666666666666666,,,,,1.0,,1.0,,,,-1.0,-5.0,,Stjarnan,Haukar,Stjarnan,5.0,,,,,,,,,
11,Tómas Þórður Hilmarsson,21.05,1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,,5.0,1.0,2.0,Stjarnan,Haukar,Stjarnan,5.0,,0.0,2.0,0.0,3.0,0.0,5.0,2.0,2.0
13,Ingimundur Orri Jóhannsson,0.0,,,,,,,,,,,,,,Stjarnan,Haukar,Stjarnan,5.0,,,,,,,,,
14,Arnþór Freyr Guðmundsson,17.85,,,,2.0,1.0,1.0,1.0,2.0,,1.0,5.0,1.0,6.0,Stjarnan,Haukar,Stjarnan,5.0,,0.0,2.0,2.0,4.0,2.0,6.0,,
20,Urald King,27.116666666666667,2.0,5.0,7.0,1.0,4.0,3.0,2.0,,,,24.0,8.0,22.0,Stjarnan,Haukar,Stjarnan,5.0,1.0,9.0,12.0,,,9.0,12.0,4.0,5.0
29,Orri Gunnarsson,0.0,,,,,,,,,,,,,,Stjarnan,Haukar,Stjarnan,5.0,,,,,,,,,
3,Nikulás Dóri Óskarsson,0.0,,,,,,,,,,,,,,Stjarnan,Haukar,Haukar,5.0,,,,,,,,,
7,Aron Ás Kjartansson,0.0,,,,,,,,,,,,,,Stjarnan,Haukar,Haukar,5.0,,,,,,,,,
8,Hjálmar Stefánsson,31.066666666666666,5.0,4.0,9.0,3.0,2.0,4.0,2.0,1.0,,1.0,10.0,-5.0,9.0,Stjarnan,Haukar,Haukar,5.0,1.0,4.0,9.0,0.0,4.0,4.0,13.0,1.0,2.0
9,Haukur Óskarsson,25.866666666666667,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,4.0,-14.0,6.0,Stjarnan,Haukar,Haukar,5.0,,1.0,2.0,1.0,3.0,2.0,5.0,1.0,2.0
10,Ívar Barja,0.0,,,,,,,,,,,,,,Stjarnan,Haukar,Haukar,5.0,,,,,,,,,
11,Kristinn Marinósson,9.183333333333334,,1.0,1.0,,1.0,,,,,,0.0,-9.0,,Stjarnan,Haukar,Haukar,5.0,,,,0.0,1.0,0.0,1.0,,
12,Kári Jónsson,35.1,1.0,2.0,3.0,7.0,2.0,5.0,3.0,5.0,,,15.0,3.0,12.0,Stjarnan,Haukar,Haukar,5.0,1.0,1.0,4.0,2.0,7.0,3.0,11.0,4.0,5.0
13,Breki Gylfason,30.116666666666667,2.0,2.0,4.0,3.0,1.0,2.0,3.0,,,,12.0,-12.0,14.0,Stjarnan,Haukar,Haukar,5.0,1.0,3.0,5.0,2.0,6.0,5.0,11.0,2.0,2.0
14,Emil Barja,30.783333333333335,2.0,2.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,,17.0,-2.0,12.0,Stjarnan,Haukar,Haukar,5.0,1.0,5.0,7.0,,,5.0,7.0,2.0,3.0
15,Gerald Robinson,37.88333333333333,4.0,7.0,11.0,2.0,3.0,4.0,4.0,,1.0,1.0,27.0,-16.0,30.0,Stjarnan,Haukar,Haukar,5.0,1.0,10.0,16.0,2.0,8.0,12.0,24.0,4.0,5.0
20,Yngvi Freyr Óskarsson,0.0,,,,,,,,,,,,,,Stjarnan,Haukar,Haukar,5.0,,,,,,,,,
33,Þorkell Jónsson,0.0,,,,,,,,,,,,,,Stjarnan,Haukar,Haukar,5.0,,,,,,,,,
5,Ragnar Agust Nathanaelsson,6.216666666666667,1.0,1.0,2.0,,2.0,,1.0,,,,2.0,5.0,2.0,Valur,KR,Valur,6.0,,1.0,2.0,,,1.0,2.0,,
6,Benedikt Blöndal,3.8,,,,,,,,,,,0.0,3.0,,Valur,KR,Valur,6.0,,,,,,,,,
7,Frank Aron Booker,27.7,1.0,1.0,2.0,1.0,4.0,1.0,,3.0,,,7.0,-19.0,8.0,Valur,KR,Valur,6.0,,1.0,4.0,2.0,6.0,3.0,10.0,,
8,Bergur Ástráðsson,0.0,,,,,,,,,,,,,,Valur,KR,Valur,6.0,,,,,,,,,
10,Austin Magnus Bracey,13.15,,,,,2.0,,,,,,-1.0,-6.0,,Valur,KR,Valur,6.0,1.0,,,0.0,1.0,0.0,1.0,,
12,Illugi Steingrímsson,14.466666666666667,1.0,1.0,2.0,1.0,2.0,,,2.0,,,5.0,-3.0,2.0,Valur,KR,Valur,6.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,,
13,Sigurður Páll Stefánsson,0.0,,,,,,,,,,,,,,Valur,KR,Valur,6.0,,,,,,,,,
14,Illugi Auðunsson,0.0,,,,,,,,,,,,,,Valur,KR,Valur,6.0,,,,,,,,,
15,Pavel Ermolinskij,37.95,,5.0,5.0,4.0,2.0,6.0,1.0,1.0,,,13.0,-8.0,13.0,Valur,KR,Valur,6.0,1.0,3.0,7.0,2.0,6.0,5.0,13.0,1.0,2.0
16,Finnur Atli Magnússon,24.533333333333335,3.0,4.0,7.0,1.0,2.0,2.0,,,,,13.0,-1.0,10.0,Valur,KR,Valur,6.0,,2.0,5.0,1.0,3.0,3.0,8.0,3.0,3.0
17,Naor Sharabani,37.95,,5.0,5.0,5.0,3.0,4.0,5.0,1.0,,3.0,5.0,-10.0,15.0,Valur,KR,Valur,6.0,1.0,6.0,13.0,0.0,8.0,6.0,21.0,3.0,4.0
43,Philip B. Alawoya,34.233333333333334,5.0,7.0,12.0,1.0,3.0,4.0,3.0,,1.0,,33.0,-6.0,31.0,Valur,KR,Valur,6.0,1.0,12.0,18.0,1.0,2.0,13.0,20.0,4.0,6.0
6,Kristófer Acox,33.88333333333333,4.0,7.0,11.0,,2.0,2.0,2.0,1.0,1.0,,18.0,3.0,8.0,Valur,KR,KR,6.0,1.0,4.0,5.0,,,4.0,5.0,,
7,Michael Craion,38.03333333333333,,14.0,14.0,1.0,2.0,6.0,4.0,1.0,1.0,1.0,20.0,14.0,17.0,Valur,KR,KR,6.0,1.0,7.0,14.0,0.0,1.0,7.0,15.0,3.0,5.0
